epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4659.53,1.85763,3.16661,2.40093,0.51335,0.14763,0.12521,0.04972,2.39871,3.83586,2.87434,0.000228729,0.000228729,0.000228729
43,4770.69,1.87695,3.14471,2.40424,0.51367,0.06459,0.19128,0.08846,2.43057,3.85205,2.90192,0.000224917,0.000224917,0.000224917
44,4881.29,1.8937,3.08179,2.42064,0.339,0.1826,0.19789,0.1083,2.34669,3.68812,2.83199,0.000221106,0.000221106,0.000221106
45,4992.71,1.83839,3.10954,2.37293,0.66807,0.12144,0.21949,0.12128,2.2742,3.66084,2.77441,0.000217294,0.000217294,0.000217294
46,5103.19,1.82455,3.0971,2.37527,0.38689,0.21951,0.22195,0.10909,2.38351,3.6579,2.79544,0.000213482,0.000213482,0.000213482
47,5213.72,1.83798,3.12367,2.37772,0.43001,0.18773,0.16575,0.06685,2.35521,3.72926,2.84012,0.000209671,0.000209671,0.000209671
48,5325.09,1.86455,3.0999,2.39546,0.40994,0.19556,0.23894,0.09403,2.40403,3.66815,2.88198,0.00020586,0.00020586,0.00020586
49,5436.06,1.83974,3.0716,2.36832,0.34487,0.15739,0.17957,0.07852,2.34713,3.67652,2.78314,0.000202048,0.000202048,0.000202048
50,5546.66,1.83206,3.01483,2.3551,0.36267,0.10905,0.16081,0.06353,2.3972,3.60612,2.84386,0.000198236,0.000198236,0.000198236
51,5657.23,1.82435,3.04018,2.35381,0.4674,0.17389,0.17604,0.07061,2.35625,3.68685,2.85345,0.000194425,0.000194425,0.000194425
52,5768.11,1.81948,2.98765,2.36781,0.40545,0.18749,0.17103,0.07294,2.31873,3.58748,2.80192,0.000190613,0.000190613,0.000190613
53,5878.55,1.82682,2.96182,2.34936,0.4128,0.24516,0.27469,0.11583,2.36355,3.57136,2.80885,0.000186802,0.000186802,0.000186802
54,5989.15,1.80399,2.95173,2.32997,0.41793,0.16549,0.20523,0.08396,2.27656,3.56862,2.70757,0.00018299,0.00018299,0.00018299
55,6099.35,1.77895,2.96003,2.33082,0.34164,0.22128,0.19368,0.07932,2.36001,3.6497,2.85097,0.000179179,0.000179179,0.000179179
56,6209.6,1.78964,2.94225,2.34223,0.41668,0.19363,0.19395,0.08248,2.38364,3.49687,2.81975,0.000175367,0.000175367,0.000175367
57,6320.5,1.77902,2.90141,2.32765,0.33459,0.27418,0.24138,0.10273,2.26318,3.56805,2.76838,0.000171556,0.000171556,0.000171556
58,6431.14,1.78796,2.87297,2.31397,0.34499,0.23,0.20428,0.0809,2.33366,3.6025,2.79781,0.000167745,0.000167745,0.000167745
59,6541.47,1.78508,2.91414,2.32041,0.32978,0.27541,0.23594,0.08926,2.36023,3.5383,2.78948,0.000163933,0.000163933,0.000163933
60,6653.02,1.76787,2.81089,2.29322,0.35847,0.28079,0.21913,0.09263,2.32002,3.46115,2.79796,0.000160122,0.000160122,0.000160122
61,6764,1.77092,2.84632,2.3116,0.34904,0.22667,0.20001,0.08453,2.30194,3.48036,2.81357,0.00015631,0.00015631,0.00015631
62,6874.6,1.78942,2.80719,2.29726,0.39019,0.22856,0.25422,0.1075,2.35237,3.40192,2.839,0.000152498,0.000152498,0.000152498
63,6985.07,1.78401,2.79885,2.30172,0.3614,0.15993,0.22313,0.08854,2.29946,3.47526,2.76008,0.000148687,0.000148687,0.000148687
64,7095.46,1.76513,2.81454,2.2953,0.61929,0.10021,0.19886,0.08452,2.32984,3.54459,2.82934,0.000144875,0.000144875,0.000144875
65,7207.09,1.73129,2.779,2.27819,0.34434,0.25425,0.24428,0.09619,2.2327,3.4953,2.73779,0.000141064,0.000141064,0.000141064
66,7317.7,1.75726,2.77147,2.28775,0.46856,0.21697,0.2705,0.12608,2.24714,3.45214,2.74675,0.000137252,0.000137252,0.000137252
67,7428.15,1.74668,2.76654,2.29115,0.58291,0.20819,0.22301,0.09209,2.2651,3.43048,2.73668,0.000133441,0.000133441,0.000133441
